110 in the Shade
13
1492 Up To Date
1600 Pennsylvania Avenue
1776
1789: Les Amants de la Bastille
The 25th Annual Putnam County Spelling Bee
35MM: A Musical Exhibition
3 Musketiers
3hree
42nd Street
70, Girls, 70
8 femmes
9 to 5
A... My Name Is Alice and
A Christmas Story: The Musical
A Dangerous Maid
A Family Affair
A Hatful of Snow
A Little Princess
A Minister's Wife
A New Brain
A Tale of Two Cities
A Very Potter Musical
A Very Potter Sequel
A Very Potter Senior Year
Aaron Slick from Punkin Crick
Abbacadabra
About Face
About Town
Absolute Beginners
Abyssinia
Ace
Ace of Clubs
Acorn Antiques: The Musical!
Across the Universe
The Act
The Addams Family
Adding Machine
Adèle
Adonis
The Adventures of Priscilla, Queen of the Desert
The Adventures of Tom Sawyer
Affair in Trinidad
The Affairs of Dobie Gillis
Afgar
Africana
After the Ball
Aida
Ain't Misbehavin'
Ain't Supposed to Die a Natural Death
Aladdin
Aladdin
Ali Baba fr:Les 1001 Vies d'Ali Baba
Alice in Wonderland
Alice in Wonderland: An X-Rated Musical Comedy
Alice in Wonderland, a Musical Adventure in One Act
Alice's Adventures in Wonderland
Alice with Kisses
Alive and Kicking
All 4 One
All Aboard
All American
All Hands on Deck
All in Fun
All in Love
All Shook Up
All That Jazz
All the Fun of the Fair
All the King's Horses
Allegro
An Alligator Named Daisy
Alma, Where Do You Live?
Alone at Last
Along Fifth Avenue
Altar Boyz
Ambassador
Amen Corner
America Kicks Up Its Heels
The American Astronaut
American Idiot
American Pop
An American in Paris
America's Sweetheart
The Amorous Flea
Amour
Amphitryon
An Arabian Girl and 40 Thieves
Anastasia
Anchors Aweigh
And the Angels Sing
And the World Goes 'Round
André Charlot's Revue of 1924
Andy Hardy's Private Secretary
Angel
Angel in the Wings
Angelika
Angélique, Marquise des Anges
Angry Housewives
Ani: A Parody
Animal Crackers
Ankles Aweigh
Anne and Gilbert
Anne of Green Gables
Annie
Annie Get Your Gun
Annie Warbucks
Anya
Anyone Can Whistle
Anything Goes
Applause
Apple Blossoms
The Apple Tree
April in Paris
April Love
Arabian Nights
The Ark
The Arcadians
Are You With It?
Argentine Nights
The Aristocats
Arms and the Girl
Around the World
Arthur! Arthur!
Artists and Models
As Long as They're Happy
As the Girls Go
As Thousands Cheer
Aspects of Love
Assassins
At Home Abroad
At Long Last Love
At the Circus
At the Drop of a Hat
At the Drop of Another Hat
At War with the Army
Athena
The Athenian Touch
Aunt Sally
Autant en emporte le vent
Avenue Q
Babes in Arms
Babes in Toyland
Babes on Broadway
Babette
Baby
Baby It's You!
Bad Girls: The Musical
Back to the 80's
Bad Habits of 1926
Bajour
Baker Street
The Baker's Wife
The Balkan Princess
Ball im Savoy
Ballad for Bimshire
Ballroom
Bambi
Band Geeks
Band Waggon
The Band Wagon
Bandanna Land
Banjo Eyes
Bar Mitzvah Boy
Barbarella
Bare: A Pop Opera
Bare Facts of 1926
Barefoot Boy with Cheek
The Barkleys of Broadway
Barnum
Baron Trenck
The Baroness Fiddlesticks
Bat Boy: The Musical
Bats
The Battle of Paris
Be Yourself
Beat the Band
Beatlemania
Beautiful: The Carole King Musical
Beautiful Dreamer
The Beautiful Game
Beauty and the Beast
The Beauty Shop
The Beauty Spot
Beauty World
Because You're Mine
Bedknobs and Broomsticks
A Bedtime Story
The Beggar Student
Beggar's Holiday
The Beggar's Opera
Behind the Iron Mask
Bel-Ami
Bell Bottom George
Belles belles belles
La belle Hélène
La Belle Meunière
The Belle of Brittany
The Belle of New York
Belle of the Nineties
Belle of the Yukon
Bells Are Ringing
Belmont Varieties
The Beloved Vagabond
Ben Franklin in Paris
Bernarda Alba
Bernardine
Besame Mucho El Musical
Best Foot Forward
The Best Little Whorehouse Goes Public
The Best Little Whorehouse in Texas
The Best Things in Life Are Free
Betjemania
Bette Midler's Clams on the Half Shell
Bette! Divine Madness
The Better 'Ole
Better Tunes
Betty
Betty Blue Eyes
Between the Devil
Betwixt!
Beyond the Fringe
Bible Women
Big: the musical
The Big Bad Musical
The Big Beat
Big Boy
The Big Broadcast
The Big Broadcast of 1936
The Big Broadcast of 1937
The Big Broadcast of 1938
Big Fella
Big Fish
The Big Gay Musical
Big River
Billboard Girl
Billie
Billie
Billion Dollar Baby
Billy
Billy Elliot the Musical
The Billy Barnes Revue
Billy Noname
The Bing Boys Are Here
The Bing Boys on Broadway
The Bing Girls Are There
The Biograph Girl
Birds of Paradise
Bitter Sweet
Black and Blue
The Black Crook
Blackbirds of 1928
The Black Rider
Das Blaue Vom Himmel
Bleach
Bless the Bride
Bless You All
Blitz!
The Blonde in Black
Die Blonde Nachtigall
Blondel
Ein blonder Traum
Blondie Goes Latin
Blood Brothers
Bloody Bloody Andrew Jackson
Bloomer Girl
Blossom Time
The Blue Angel
Bluebell in Fairyland
Blue Hawaii
Blue Holiday
The Blue Kitten
The Blue Mazurka
Blue of the Night
The Blue Paradise
Blue Rhythm
Blue Skies
Blues in the Night
Blues in the Night
Boccaccio
The Body Beautiful
The Bodyguard
The Bohemian Girl
Bombay Dreams
Bombo
Bonnie and Clyde
Boobs! The Musical
Boogie Nights
The Book of Mormon
Boots and Saddles
Boots! Boots!
Born to Dance
Bottoms Up
Boy Meets Boy
The Boy Friend
The Boy from Oz
The Boy Who Heard Music
The Boys from Syracuse
Bran Nue Dae
Bravo Giovanni
Breakfast at Tiffany's
Brewster's Millions
The Bridges of Madison County
Brigadoon
Bright Eyes
Bright Lights, Big City
Bright Lights of 1944
Bandanna Land
