1492 Up To Date
3 Musketiers
A... My Name Is Alice and
A Christmas Story: The Musical
A Dangerous Maid
A Hatful of Snow
A Minister's Wife
A Very Potter Musical
A Very Potter Sequel
A Very Potter Senior Year
Aaron Slick from Punkin Crick
Acorn Antiques: The Musical!
Adèle
The Adventures of Priscilla, Queen of the Desert
Affair in Trinidad
The Affairs of Dobie Gillis
Afgar
Ain't Misbehavin'
Ain't Supposed to Die a Natural Death
Ali Baba fr:Les 1001 Vies d'Ali Baba
Alice in Wonderland: An X-Rated Musical Comedy
Alice in Wonderland, a Musical Adventure in One Act
Alice with Kisses
An Alligator Named Daisy
Alma, Where Do You Live?
Along Fifth Avenue
America Kicks Up Its Heels
The American Astronaut
The Amorous Flea
An Arabian Girl and 40 Thieves
And the World Goes 'Round
André Charlot's Revue of 1924
Andy Hardy's Private Secretary
Angel in the Wings
Angry Housewives
Ani: A Parody
Anne and Gilbert
Annie Warbucks
Argentine Nights
As Long as They're Happy
As the Girls Go
As Thousands Cheer
At the Drop of Another Hat
The Athenian Touch
Aunt Sally
Babes on Broadway
Bad Girls: The Musical
Back to the 80's
Bad Habits of 1926
The Balkan Princess
Ballad for Bimshire
Band Geeks
Bandanna Land
Banjo Eyes
Bare: A Pop Opera
Bare Facts of 1926
Barefoot Boy with Cheek
Baron Trenck
The Baroness Fiddlesticks
Bat Boy: The Musical
The Battle of Paris
The Beggar Student
Behind the Iron Mask
Bel-Ami
Bell Bottom George
La belle Hélène
La Belle Meunière
The Belle of Brittany
Belle of the Nineties
Belle of the Yukon
Belmont Varieties
The Beloved Vagabond
Besame Mucho El Musical
The Best Little Whorehouse Goes Public
Betjemania
Bette Midler's Clams on the Half Shell
Bette! Divine Madness
The Better 'Ole
The Big Broadcast of 1936
The Big Broadcast of 1937
Billy Elliot the Musical
Billy Noname
The Bing Boys Are Here
The Bing Boys on Broadway
The Bing Girls Are There
The Biograph Girl
The Black Crook
The Blonde in Black
Die Blonde Nachtigall
Ein blonder Traum
Blondie Goes Latin
Bluebell in Fairyland
The Blue Kitten
The Blue Mazurka
The Bohemian Girl
Boobs! The Musical
The Boy Who Heard Music
Bran Nue Dae
Breakfast at Tiffany's
Brewster's Millions
Bright Lights of 1944
Bandanna Land
Bring Your Smile Along
Britannia of Billingsgate
Broadway Hostess
Broadway Melody of 1940
Broadway Through a Keyhole
A Broken Idol
Buck Benny Rides Again
Buck Privates
By Jeeves
Cab Calloway's Hi-De-Ho
Call of the Flesh
Calypso Heat Wave
Can-Can
Canticle of the Plains
Le capitaine Craddock
Captain January
Captain Jinks
Captain of the Guard
Carib Song
Carmen Cubana
Carnival in Flanders
The Casino Girl
The Catch of the Season
A Catered Affair
Cats Don't Dance
Chee-Chee
The Cheetah Girls: One World
Children In The Playground
Children's Letters to God
Chin-Chin
A Chinese Honeymoon
The Chocolate Dandies
Chris and the Wonderful Lamp
The Christmas Schooner
Chronicle of a Death Foretold
Church Basement Ladies
Cindy: Cendrillon 2002
The Cingalee
The Conquering Hero
The Co-Optimists
Copper and Brass
Cotton Patch Gospel
Cowboy from Brooklyn
Cry-Baby
Cry for Us All
The Curious Case of the Human Being
Curley McDimple
Cyrano: The Musical
Dangerous When Wet
Darby O'Gill and the Little People
The Day Before Spring
Debbie Does Dallas: The Musical
Delightfully Dangerous
De-Lovely
Les Demoiselles de Rochefort
Dessa Rose
Devil-May-Care
The District Leader
Divorce Me, Darling!
Do Black Patent Leather Shoes Really Reflect Up?
Die Dollarprinzessin
The Dolly Sisters
Don't Bother Me, I Can't Cope
Doonesbury
Drat! The Cat!
Die Drei von der Tankstelle
Dreamboats and Petticoats
DuBarry Was a Lady
The Duchess of Dantzic
Ed Gardner's Duffy's Tavern
Dusty – The Original Pop Diva
Eadie Was a Lady
Earl Carroll Vanities of 1931
Earl of Ruston
The East Side of Heaven
Eating Raoul
Ed Wynn Carnival
The Eddie Cantor Story
The Education of H*Y*M*A*N K*A*P*L*A*N
Einbrecher
Evangeline, or The Belle of Acadia
An Evening with Beatrice Lillie
An Evening with Max Morath at the Turn of the Century
Every Night at Eight
Evie and the Birdman
Evil Dead: The Musical
First Lady Suite
The Five O'Clock Girl
Florodora
Floyd Collins
Follow That Girl
Follow the Girls
Follow Thru
Frankenstein – A New Musical
From Justin to Kelly
Gay Purr-ee
The Girl Behind the Gun
The Good Companions
The Grass Harp
A Greek Slave
Happy Go Lovely
The Hoboken Chicken Emergency
Holy Musical B@man!
Hooray for What!
How to Eat Like a Child
I Can't Sing! The X Factor Musical
I Don <3 u ne Mor
Idol: The Musical
Illya Darling
Imagine Tap!
In Dahomey
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem
Jerico-Jim Crow
Jerry Springer: The Opera
Jerry's Girls
Johnny Pye and the Fool-Killer
Jolly Jerome
Joseph McCarthy is Alive and Living in Dade County
Juan Darién
Kristina från Duvemåla
A Kurt Weill Cabaret
Kronborg: 1582
Kwamina
The Lady Comes Across
La Révolution Française
Laughing Room Only
Leonard Sillman's New Faces of 1952
Les Misérables
Let My People Come
Letters from Lehrer
Die letzte Kommune
Life Begins at 8:40
Liberty: The Siege of The Alamo
Little Johnny Jones
Little Nemo: Adventures in Slumberland
Lizzie the Musical
Lone Star Love
Look to the Lilies
The Madwoman of Central Park West
The Magic Mrs. Piggle Wiggle
The Magic of Lassie
Mam'zelle Champagne
The Man from Snowy River: Arena Spectacular
The Man With a Load of Mischief
Margie (Film)
Meet Mister Future
Meet the Feebles
Mein Freund Bunbury
Menopause The Musical
The Mighty Kong
Miss 1917
Mr. Cinders
Mrs. Patterson
My Life With Albertine
My Scary Girl
My Son Pinocchio
Nord-Ost
Nosferatu the Vampire
Now. Here. This.
Nymph Errant
O Marry Me!
O Say Can You See!
Of V We Sing
Oh, What a Lovely War!
Olympus on My Mind
Once Upon a Time at the Adelphi
One Touch of Venus
The One and Only, Genuine, Original Family Band
Our Miss Gibbs
The Passion Flower Hotel
Pegados, El Musical
The Perils of Pauline
Peter Pan: A Musical Adventure
Phi-Phi
The Pirate Queen
La Plume de Ma Tante
Pokémon Live!
Puteri Gunung Ledang
The Race to Urga
Randy Newman's Faust
Red, White and Maddox
Road to Zanzibar
Rockabye Hamlet
Rock 'n Roll Café
Romance in Hard Times
Roméo et Juliette, de la Haine à l'Amour
Rose-Marie
Rover Dangerfield
The Sap of Life
Saucy Jack and the Space Vixens
The Scottsboro Boys
Sergeant Brue
Shangri-La
Shinbone Alley
The Slipper and the Rose
Smike
Smiling the Boy Fell Dead
Snoopy! The Musical
Snoopy, Come Home
Snow.Wolf.Lake
Soho Cinders
South Park: Bigger, Longer & Uncut
Starmites
Stephen Ward the Musical
Step Up: All In
Stingray Sam
"Street Dance (musical) dance
Sweeney Todd: The Demon Barber of Fleet Street
The Swing Mikado
Take It Easy: Raymond Fox's New 40's Musical
Tältprojektet
The Ten Commandments: The Musical
Texas Li'l Darlin'
The Three Caballeros
Turkish Delight the Opera
The Umbrellas of Cherbourg
The Utter Glory of Morrissey Hall
The Versailles Necklace
Vivir Intentando
Wait a Minim!
The Well of Romance
Wetion
Willy Wonka Junior
The Wind Road Boys
Winnie the Pooh and the Blustery Day
Winnie the Pooh and a Day for Eeyore
Winnie the Pooh and Tigger Too
Yes Nurse! No Nurse!
Ziegfeld Follies of 1909
Ziegfeld Follies of 1910
Ziegfeld Follies of 1911
Ziegfeld Follies of 1913
Ziegfeld Follies of 1914
Ziegfeld Follies of 1915
Ziegfeld Follies of 1917
Ziegfeld Follies of 1920
Ziegfeld Follies of 1921
Ziegfeld Follies of 1922
Ziegfeld Follies of 1923
Ziegfeld Follies of 1924
Ziegfeld Follies of 1927
Ziegfeld Follies of 1931
Ziegfeld Follies of 1934
Ziegfeld Follies of 1936
Ziegfeld Follies of 1943
Ziegfeld Follies of 1958
Ziegfeld Girl
Ziegfeld Girls of 1920
Ziegfeld Midnight Frolic
Ziegfeld Midnight Frolic
Ziegfeld Midnight Frolic
Ziegfeld Midnight Frolic
Ziegfeld Midnight Frolic
Ziegfeld Midnight Frolic
Zig-Zag is not a film
Zip Goes a Million
